communityName,state,population,popDens,numbUrban,pctUrban,medIncome,medRent,PctHousOccup,PctHousOwnOcc,PersPerOwnOccHous,PersPerRentOccHous,burglPerPop,larcPerPop,robbPerPop,theftComb
BerkeleyHeightstownship,NJ,11980,1845.9,11980,100.0,75122,1001,98.37,91.01,3.0,2.84,114.85,1132.08,8.2,1255.1299999999999
Marpletownship,PA,23123,2186.7,23123,100.0,47917,627,97.15,84.88,2.83,1.96,242.37,1598.78,21.26,1862.41
Tigardcity,OR,29344,2780.9,29344,100.0,35669,484,95.68,57.79,2.69,2.06,758.14,4972.19,154.95,5885.28
Gloversvillecity,NY,16656,3217.7,0,0.0,20580,333,91.19,54.89,2.51,2.2,1301.78,4142.56,57.86,5502.2
Bemidjicity,MN,11245,974.2,0,0.0,17390,332,92.45,53.57,2.55,2.12,728.93,8490.87,32.04,9251.840000000002
Springfieldcity,MO,140494,1995.7,140494,100.0,21577,340,91.81,55.5,2.37,2.16,1386.46,5091.64,90.05,6568.150000000001
Norwoodtown,MA,28700,2643.5,28700,100.0,42805,736,95.11,56.96,2.89,2.09,372.09,974.19,30.44,1376.72
Andersoncity,IN,59459,1515.3,59449,100.0,23221,338,92.22,63.82,2.42,2.27,997.6,3691.79,160.8,4850.1900000000005
Fargocity,ND,74111,2399.3,74115,100.0,25326,355,95.07,48.1,2.77,1.91,532.66,3946.71,20.05,4499.42
Wacocity,TX,103590,1319.3,103590,100.0,17852,353,87.57,46.51,2.47,2.44,2221.81,5673.63,419.89,8315.33
Shermancity,TX,31601,816.1,31596,100.0,24763,380,87.33,57.83,2.5,2.31,1456.49,5654.8,220.96,7332.25
SanPablocity,CA,25158,9387.3,25158,100.0,25479,564,92.42,47.14,2.9,2.79,1769.39,5404.4,1143.81,8317.6
BowlingGreencity,KY,40641,1354.2,0,0.0,20043,332,91.27,50.59,2.4,2.17,1269.58,3895.99,126.52,5292.09
PineBluffcity,AR,57140,1301.5,57140,100.0,19143,333,90.0,61.74,2.64,2.65,2987.92,3424.02,444.61,6856.55
NewUlmcity,MN,13132,1481.2,0,0.0,25797,293,96.65,74.48,2.62,1.88,489.98,2069.62,0.0,2559.6
Maplewoodcity,MN,30954,1724.8,30954,100.0,37856,512,94.85,75.86,2.79,2.08,667.12,4776.1,79.7,5522.92
Enfieldtown,CT,45532,1314.3,43944,96.51,44635,668,96.21,76.15,2.86,2.29,618.62,1987.5,50.46,2656.58
Glendalecity,CA,180038,5677.3,180038,100.0,34372,688,95.13,38.71,2.63,2.56,889.74,2509.23,197.91,3596.88
Worthingtoncity,OH,14869,2552.7,14882,100.0,49851,465,97.14,82.53,2.69,2.14,655.15,2739.73,66.18,3461.06
Arlingtoncity,TX,261721,2716.3,261763,100.0,35048,444,89.26,51.84,2.89,2.25,1360.48,3938.78,242.88,5542.14
Plymouthcity,MN,50889,1491.7,50889,100.0,51314,611,93.6,73.63,2.95,2.08,446.39,2418.09,21.41,2885.89
NewYorkcity,NY,7322564,22878.2,7322564,100.0,29823,496,94.23,28.64,2.8,2.43,1355.37,3212.39,1174.95,5742.71
Marinacity,CA,26436,2917.9,26436,100.0,29043,666,95.73,34.5,2.8,3.18,1457.12,3526.76,270.79,5254.67
Lebanoncity,NH,12183,291.4,0,0.0,32221,499,90.47,51.73,2.61,2.02,516.25,4694.68,0.0,5210.93
Rockledgecity,FL,16023,1581.4,16023,100.0,34934,543,93.31,77.85,2.61,2.45,1254.65,4002.66,105.48,5362.789999999999
Rogerscity,AR,24692,1073.9,0,0.0,26198,389,94.31,63.8,2.58,2.38,755.34,3938.79,32.42,4726.55
